Month,Values,CostCarrier,CostElement
4,-60.36,T2B0000028,640901012
4,-345.4000000000001,T2B0000028,640901013
4,-174.40000000000003,T2B0000028,641601000
4,-732.45,T2B0000028,660801000
4,-12.37,T2B0000028,661201000
4,-25.61,T2B0000028,661202000
4,-150.1,T2B0000028,661402000
4,-135,T2B0000028,661404000
4,-228,T2B0000028,662101000
4,-4.900000000000001,T2B0000028,662208000
4,-17.28,T2B0000028,662212000
4,-16.8,T2B0000028,662213000
4,-7.6000000000000005,T2B0000028,663701000
4,-79.12,T2B0000028,663901000
4,-116.24,T2B0000028,664001000
4,30.65,T2B0000028,664104000
4,1.68,T2B0000028,664201000
4,-76,T2B0000028,710516000
4,-26.86,T2B0000029,610501000
4,-870.35,T2B0000029,611601000
4,-1.31,T2B0000029,613101000
4,-3573.42,T2B0000029,640301000
4,-483.75,T2B0000029,640302000
4,-110.00999999999999,T2B0000029,640312000
4,-1312.81,T2B0000029,640901000
4,-34.010000000000005,T2B0000029,640901011
4,-18.12,T2B0000029,640901012
4,-170.27999999999997,T2B0000029,640901013
4,-82.83999999999999,T2B0000029,641601000
4,-529.89,T2B0000029,660801000
4,-9.28,T2B0000029,661201000
4,-19.2,T2B0000029,661202000
4,-112.57,T2B0000029,661402000
4,-12.96,T2B0000029,662212000
4,-5.61,T2B0000029,662213000
4,-21.259999999999998,T2B0000029,663701000
4,-87.44000000000001,T2B0000029,664001000
4,22.99,T2B0000029,664104000
4,1.26,T2B0000029,664201000
4,-66,T2B0000029,710516000
4,-89.54,T2B0000030,610501000
4,-115.95,T2B0000030,611601000
4,-69.66,T2B0000030,612205000
4,498,T2B0000030,612809000
4,-92,T2B0000030,612809015
4,-4.36,T2B0000030,613101000
4,-14506.180000000002,T2B0000030,640301000
4,-2440,T2B0000030,640302000
4,-417.51,T2B0000030,640312000
4,-5093.37,T2B0000030,640901000
4,-145.63000000000002,T2B0000030,640901011
4,-103.82,T2B0000030,640901012
4,-858.8800000000001,T2B0000030,640901013
4,-401.11999999999995,T2B0000030,641601000
4,-1771.51,T2B0000030,660801000
4,-498.97,T2B0000030,661001000
4,-30.93,T2B0000030,661201000
4,-64.01,T2B0000030,661202000
4,-31.6,T2B0000030,661301000
4,-102.21,T2B0000030,661302000
4,-375.24,T2B0000030,661402000
4,-216,T2B0000030,661701000
4,-92,T2B0000030,662204000
4,11.499999999999998,T2B0000030,662208000
4,-43.21,T2B0000030,662212000
4,-200,T2B0000030,662213000
4,115.38,T2B0000030,663701000
4,-143.71,T2B0000030,663903000
4,-353.68,T2B0000030,664001000
4,78.69999999999999,T2B0000030,664104000
4,4.21,T2B0000030,664201000
4,-411,T2B0000030,710516000
4,40851.57,T2B0000031,610501000
4,-11935.37,T2B0000031,612809000
4,-1014.55,T2B0000031,613101000
4,0,T2B0000031,660503000
4,-607.28,T2B0000031,660702000
4,-318289.5499999998,T2B0000031,660801000
4,735834.33,T2B0000031,660807000
4,-10450.5,T2B0000031,661201000
4,-10593.740000000005,T2B0000031,661202000
4,-58046.65999999994,T2B0000031,661402000
4,-9576,T2B0000031,661404000
4,-20.84,T2B0000031,663701000
4,-328.13,T2B0000031,663801000
4,0,T2B0000031,663902000
4,-44673,T2B0000031,710501000
4,-48971,T2B0000031,710516000
4,-548,T2B0000031,710520000
4,-140,T2B0000031,711401000
4,-723606,T2B0000031,712601000
4,-444,T2B0000031,712801000
4,-5085.610000000001,T2B0000032,612712000
4,5,T2B0000032,641602000
4,1474,T2B0000032,663903000
4,-75,T2B0000032,710516000
4,-55669.81999999996,T2B0000033,610501000
4,-146,T2B0000033,663101000
4,-52.2,T2B0000033,664605000
4,-13512,T2B0000033,710501000
4,-3335,T2B0000033,710516000
4,-98,T2B0000033,710520000
4,-1086.25,T2B0000034,612809015
4,-4802,T2B0000034,710501000
4,-677,T2B0000034,710516000
4,-44.77,T2B0000035,610501000
4,-47.7,T2B0000035,611601000
4,-20.1,T2B0000035,612205000
4,-842.82,T2B0000035,612809015
4,-2.18,T2B0000035,613101000
4,-10188.199999999999,T2B0000035,640301000
4,-2331.5600000000004,T2B0000035,640302000
4,-270.8299999999999,T2B0000035,640312000
4,-3777.74,T2B0000035,640901000
4,-100.83,T2B0000035,640901011
4,-90.54999999999998,T2B0000035,640901012
4,-820.71,T2B0000035,640901013
4,-220.17999999999998,T2B0000035,641601000
4,-888.37,T2B0000035,660801000
4,-331.73,T2B0000035,661001000
4,-15.46,T2B0000035,661201000
4,-32.01,T2B0000035,661202000
4,-59.650000000000006,T2B0000035,661301000
4,-187.62,T2B0000035,661402000
4,-1263.14,T2B0000035,662208000
4,-21.61,T2B0000035,662212000
4,-600,T2B0000035,662213000
4,-23,T2B0000035,662602000
4,-35.47,T2B0000035,663701000
4,-152.58,T2B0000035,664001000
4,-2.8299999999999983,T2B0000035,664104000
4,2.1,T2B0000035,664201000
